"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PARTREV";"PROD_ID";"STANDARD";"VALUE";"VERSION";
"1";"";"CONN_02";"1X02";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_10"";"1X10";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-11563";"";"";"";
"8";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C2, C7, C9, C10, C11, C12, C13, C28";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";"";
"6";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C4, C21, C22, C23, C24, C27";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";"";
"3";"100";"100OHM-0603-1/10W-1%";"0603";"R18, R19, R20";"100Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07863";"";"100";"";
"2";"100k";"100KOHM-0603-1/10W-1%";"0603";"R4, R8";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"100k";"";
"5";"10k";"10KOHM-0603-1/10W-1%";"0603";"R2, R3, R12, R15, R17";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";"";
"8";"10uF";"10UF-0603-6.3V-20%";"0603";"C3, C15, C16, C17, C18, C19, C20, C29";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";"";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"1k";"";
"1";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"C30";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"";"1nF";"";
"2";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"R13, R14";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08296";"";"2.0k";"";
"2";"22pF";"22PF-0603-50V-5%";"0603";"C31, C32";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07876";"";"22pF";"";
"1";"3.3k";"3.3KOHM-0603-1/10W-1%";"0603";"R22";"3.3kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07851";"";"3.3k";"";
"5";"33";"33OHM-0603-1/10W-1%";"0603";"R6, R7, R9, R10, R11";"33Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08270";"";"33";"";
"1";"4.7";"4.7OHM-0603-1/10W-1%";"0603";"R21";"4.7Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-15581";"";"4.7";"";
"2";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R5";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";"";
"2";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"C1, C6";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"4.7uF";"";
"2";"82pF";"27PF-0603-50V-5%";"0603";"C5, C8";"27pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09989";"";"27pF";"";
"2";"AMM-2742-T-R";"AMM-2742-T-R";"AMM2742TR";"LS1, LS2";"Microphones MICROPHONE OMNI -42 DB 2VDC 150uA";"";"";"Microphones MICROPHONE OMNI -42 DB 2VDC 150uA";"";"0.9mm";"";"PUI Audio";"AMM-2742-T-R";"";"";"665-AMM-2742-T-R";"https://www.mouser.co.uk/ProductDetail/PUI-Audio/AMM-2742-T-R?qs=zhx2xqPtQQyJoGop0O%252BpMA%3D%3D";"";"";"";"";"";
"1";"ES8388";"ES8388";"QFN45P400X400X90-29N";"IC1";"Low Power Stereo Audio CODEC With Headphone Amplifier";"";"";"Low Power Stereo Audio CODEC With Headphone Amplifier";"";"0.9mm";"";"Everest";"ES8388";"";"";"";"";"";"";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"";"";"Nobody";"";"";"";"";"";"";"";"";"";"";"";"";"v01";
"2";"GRM188R60J476ME15D";"GRM188R60J476ME15D";"CAPC1608X100N";"C25, C26";"SMD Capacitor X5R(EIA) with Capacitance: 47uF Tol. 20%. Rated Voltage: 6.3Vdc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"LED_DISABLE";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MPRLS0300YG00001B";"MPRLS0300YG00001B";"MPRLS0300YG00001B";"U1";"Board Mount Pressure Sensors";"";"";"Board Mount Pressure Sensors";"";"5mm";"";"Honeywell";"MPRLS0300YG00001B";"";"";"785-MPRLS0300YG0001B";"https://www.mouser.co.uk/ProductDetail/Honeywell/MPRLS0300YG00001B?qs=MLItCLRbWszf0bln%252B%2FiVCQ%3D%3D";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"RED";"";
"1";"SJ-3523-SMT-TR";"SJ-3523-SMT-TR";"CUI_SJ-3523-SMT-TR";"J1";"Audio Jack Connector 3.5 mm Low Profile Surface Mount Stereo Jack, 3 Pin Right-Angle";"";"";"";"";"";"";"";"";"";"CUI Inc";"";"";"";"";"Manufacturer recommendations";"";"";
"1";"SJ2-3574A-SMT-TR";"SJ2-3574A-SMT-TR";"CUI_SJ2-3574A-SMT-TR";"J3";"3.5 mm, Stereo, Right Angle, Surface Mount (SMT), Audio Jack Connector";"";"";"";"";"";"CUI";"";"";"5.3 mm";"";"";"";"1.02";"";"Manufacturer Recommendations";"";"";
"1";"TLV9002IDDFR";"TLV9002IDDFR";"SOT65P280X110-8N";"IC2";"Operational Amplifiers - Op Amps 2-Channel, 1MHz, RRIO, 1.8V to 5.5V Operational Amplifier for Cost-Optimized Systems 8-SOT-23-THIN -40 to 125";"TLV9002IDDFR";"https://www.arrow.com/en/products/tlv9002iddfr/texas-instruments?region=europe";"Operational Amplifiers - Op Amps 2-Channel, 1MHz, RRIO, 1.8V to 5.5V Operational Amplifier for Cost-Optimized Systems 8-SOT-23-THIN -40 to 125";"";"1.1mm";"";"Texas Instruments";"TLV9002IDDFR";"";"";"595-TLV9002IDDFR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV9002IDDFR?qs=mAH9sUMRCtuVJ6NmNV%252Bgrw%3D%3D";"";"";"";"";"";
